"School","Student_Enrolled","Student_Present","Student_Present_Percent","Student_Active_Cases","Staff_Employed","Staff_Present","Staff_Present_Percent","Staff_Active_Cases","Date","Level","Student_Maximum_Active_Cases","Staff_Maximum_Active_Cases"
"Ball Camp Elementary School","586","530",90.44,"≤5","60","54",90,"0",2021-09-16 22:17:00,"Elementary",5,0
"Bearden Elementary School","340","302",88.82,"≤5","33","32",96.97,"0",2021-09-16 22:17:00,"Elementary",5,0
"Bearden High School","2067","1882",91.05,"≤15","157","143",91.08,"0",2021-09-16 22:17:00,"High",15,0
"Bearden Middle School","1208","1088",90.07,"≤30","115","108",93.91,"0",2021-09-16 22:17:00,"Middle",30,0
"Beaumont Magnet Academy","570","504",88.42,"≤15","78","69",88.46,"0",2021-09-16 22:17:00,"Elementary",15,0
"Belle Morris Elementary School","412","361",87.62,"≤5","62","56",90.32,"0",2021-09-16 22:17:00,"Elementary",5,0
"Blue Grass Elementary School","536","486",90.67,"≤15","52","48",92.31,"0",2021-09-16 22:17:00,"Elementary",15,0
"Bonny Kate Elementary School","344","320",93.02,"≤5","48","46",95.83,"0",2021-09-16 22:17:00,"Elementary",5,0
"Brickey-McCloud Elementary School","842","771",91.57,"≤5","109","103",94.5,"0",2021-09-16 22:17:00,"Elementary",5,0
"Career Magnet Academy At Pellissippi State","255","238",93.33,"0","23","19",82.61,"0",2021-09-16 22:17:00,"High",0,0
"Carter Elementary School","521","452",86.76,"≤15","57","52",91.23,"≤5",2021-09-16 22:17:00,"Elementary",15,5
"Carter High School","802","689",85.91,"≤15","79","74",93.67,"0",2021-09-16 22:17:00,"High",15,0
"Carter Middle School","589","526",89.3,"≤15","57","50",87.72,"≤5",2021-09-16 22:17:00,"Middle",15,5
"Cedar Bluff Elementary School","1079","967",89.62,"≤5","133","112",84.21,"≤5",2021-09-16 22:17:00,"Elementary",5,5
"Cedar Bluff Middle School","567","518",91.36,"≤5","55","52",94.55,"0",2021-09-16 22:17:00,"Middle",5,0
"Central High School","1318","1105",83.84,"≤15","129","123",95.35,"≤5",2021-09-16 22:17:00,"High",15,5
"Chilhowee Intermediate School","194","177",91.24,"0","26","23",88.46,"0",2021-09-16 22:17:00,"Elementary",0,0
"Christenberry Elementary School","422","374",88.63,"≤15","71","66",92.96,"0",2021-09-16 22:17:00,"Elementary",15,0
"Copper Ridge Elementary School","439","386",87.93,"≤5","61","55",90.16,"≤5",2021-09-16 22:17:00,"Elementary",5,5
"Corryton Elementary School","208","191",91.83,"0","22","21",95.45,"0",2021-09-16 22:17:00,"Elementary",0,0
"Dogwood Elementary School","476","434",91.18,"≤5","104","98",94.23,"≤5",2021-09-16 22:17:00,"Elementary",5,5
"East Knox County Elementary School","449","395",87.97,"≤5","55","46",83.64,"≤5",2021-09-16 22:17:00,"Elementary",5,5
"Farragut High School","2072","1929",93.1,"≤5","147","144",97.96,"≤5",2021-09-16 22:17:00,"High",5,5
"Farragut Intermediate School","1108","1048",94.58,"≤15","85","78",91.76,"0",2021-09-16 22:17:00,"Elementary",15,0
"Farragut Middle School","1414","1343",94.98,"0","104","95",91.35,"0",2021-09-16 22:17:00,"Middle",0,0
"Farragut Primary School","955","892",93.4,"≤5","92","84",91.3,"0",2021-09-16 22:17:00,"Elementary",5,0
"Fountain City Elementary School","377","323",85.68,"≤15","39","37",94.87,"≤5",2021-09-16 22:17:00,"Elementary",15,5
"Fulton High School","933","744",79.74,"≤15","126","119",94.44,"≤5",2021-09-16 22:17:00,"High",15,5
"Gap Creek Elementary School","74","65",87.84,"0","17","15",88.24,"≤5",2021-09-16 22:17:00,"Elementary",0,5
"Gibbs Elementary School","875","801",91.54,"≤5","85","79",92.94,"0",2021-09-16 22:17:00,"Elementary",5,0
