"School","Student_Enrolled","Student_Present","Student_Present_Percent","Student_Active_Cases","Staff_Employed","Staff_Present","Staff_Present_Percent","Staff_Active_Cases","Date","Level","Student_Maximum_Active_Cases","Staff_Maximum_Active_Cases"
"West View Elementary School","197","180",91.37,"0","34","33",97.1,"0",2021-09-15 11:28:46,"Elementary",0,0
"Whittle Springs Middle School","459","383",83.44,"<89>5\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","57","51",89.5,"<89>5\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 113.385px; width: 113.385px;\""><89>5",2021-09-15 11:28:46,"Middle",NA,NA
"A.L. Lotts Elementary School","959","889",92.7,"<89>15\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>15","88","83",94.32,"0",2021-09-15 22:17:01,"Elementary",NA,0
"Adrian Burnett Elementary School","501","448",89.42,"<89>5\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","61","54",88.52,"0",2021-09-15 22:17:01,"Elementary",NA,0
"Amherst Elementary School","662","624",94.26,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","81","74",91.36,"0",2021-09-15 22:17:01,"Elementary",NA,0
"Austin East Magnet High School","672","583",86.76,"<89>5\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","102","91",89.22,"0",2021-09-15 22:17:01,"High",NA,0
"Ball Camp Elementary School","586","528",90.1,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","60","57",95,"0",2021-09-15 22:17:01,"Elementary",NA,0
"Bearden Elementary School","341","296",86.8,"<89>5\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","33","30",90.91,"0",2021-09-15 22:17:01,"Elementary",NA,0
"Bearden High School","2069","1898",91.74,"<89>15\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>15","157","148",94.27,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 113.385px; width: 113.385px;\""><89>5",2021-09-15 22:17:01,"High",NA,NA
"Bearden Middle School","1209","1087",89.91,"<89>15\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>15","115","106",92.17,"<89>5\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 113.385px; width: 113.385px;\""><89>5",2021-09-15 22:17:01,"Middle",NA,NA
